id,name,college,country
5077,Tyler Bey,Colorado,USA
5093,Tyrell Terry,Stanford,USA
5096,Tyrese Haliburton,Iowa State,USA
5100,Tyrese Maxey,Kentucky,USA
5113,Udoka Azubuike,Kansas,Nigeria
5119,Vernon Carey Jr.,Duke,USA
5158,Will Magnay,,Australia
5037,Tre Jones,Duke,USA
4995,Theo Maledon,,France
4303,Kenyon Martin Jr.,,USA
4306,Kevin Durant,Texas-Austin,USA
4339,Killian Hayes,,France
4342,Killian Tillie,Gonzaga,France
4345,Kira Lewis Jr.,Alabama,USA
4391,LaMelo Ball,,USA
4394,Lamar Stevens,Penn State,USA
4169,Jordan Nwora,Louisville,USA
4179,Josh Green,Arizona,Australia
4182,Josh Hall,,USA
4257,Karim Mane,,Senegal
4277,Keljin Blevins,Montana State,USA
4580,Mike James,Lamar,USA
4623,Naji Marshall,Xavier,USA
4629,Nate Darling,Delaware,Canada
4633,Nate Hinton,Houston,USA
4636,Nathan Knight,William & Mary,USA
4652,Nick Richards,Kentucky,Jamaica
4659,Nico Mannion,Arizona,Italy
4450,Malachi Flynn,San Diego State,USA
4463,Malik Fitts,,USA
4473,Mamadi Diakite,Virginia,Guinea
4505,Markus Howard,Marquette,USA
4522,Mason Jones,Arkansas,USA
